Gene_ID,gene_symbol,gene_type,CTCFBSKO_rep4,CTCFBSKO_rep5,WT_rep4,WT_rep5
ENSMUSG00000052684,Jun,protein_coding,3465,4023,1718,2237
ENSMUSG00000021701,Plk2,protein_coding,203,271,758,1420
ENSMUSG00000022346,Myc,protein_coding,559,688,1370,1919
ENSMUSG00000015396,Cd83,protein_coding,1156,1065,2068,3317
ENSMUSG00000021356,Irf4,protein_coding,818,854,1529,2545
ENSMUSG00000038894,Irs2,protein_coding,1077,1006,1804,3106
ENSMUSG00000037944,Ccr7,protein_coding,648,629,1138,1847
ENSMUSG00000023034,Nr4a1,protein_coding,566,861,2386,3879
ENSMUSG00000030157,Clec2d,protein_coding,834,865,458,564
ENSMUSG00000052837,Junb,protein_coding,1445,1522,2356,3009
ENSMUSG00000024042,Sik1,protein_coding,618,765,1238,1681
ENSMUSG00000038393,Txnip,protein_coding,1349,1211,765,884
ENSMUSG00000021250,Fos,protein_coding,429,486,831,1245
ENSMUSG00000046546,Fam43a,protein_coding,847,970,1564,1853
ENSMUSG00000045382,Cxcr4,protein_coding,1897,1855,2796,3602
ENSMUSG00000020893,Per1,protein_coding,684,575,1086,1482
ENSMUSG00000030103,Bhlhe40,protein_coding,277,292,539,792
ENSMUSG00000064339,mt-Rnr2,Mt_rRNA,297273,263818,209827,267336
ENSMUSG00000091971,Hspa1a,protein_coding,264,529,34,78
ENSMUSG00000013846,St3gal1,protein_coding,431,312,700,989
ENSMUSG00000064351,mt-Co1,protein_coding,5849,5419,4088,5396
ENSMUSG00000051212,Gpr183,protein_coding,310,389,621,882
ENSMUSG00000026360,Rgs2,protein_coding,359,386,622,953
ENSMUSG00000020108,Ddit4,protein_coding,271,266,124,121
ENSMUSG00000090877,Hspa1b,protein_coding,1157,2147,49,202
ENSMUSG00000047407,Tgif1,protein_coding,306,317,537,840
ENSMUSG00000036931,Nfkbid,protein_coding,669,825,1150,1628
ENSMUSG00000027843,Ptpn22,protein_coding,177,258,411,687
ENSMUSG00000038342,Mlxip,protein_coding,561,766,1048,1570
ENSMUSG00000073676,Hspe1,protein_coding,623,715,423,435
ENSMUSG00000033730,Egr3,protein_coding,328,431,630,1016
ENSMUSG00000003545,Fosb,protein_coding,221,225,413,615
ENSMUSG00000064337,mt-Rnr1,Mt_rRNA,113667,97069,73842,105209
ENSMUSG00000016559,H3f3b,protein_coding,1478,1605,2145,2859
ENSMUSG00000026094,Stk17b,protein_coding,1791,1522,2268,3789
ENSMUSG00000018476,Kdm6b,protein_coding,588,710,977,1447
ENSMUSG00000030156,Cd69,protein_coding,422,458,715,956
ENSMUSG00000028410,Dnaja1,protein_coding,432,631,234,395
