Gene_ID	CTCFBSKO_rep4	CTCFBSKO_rep5	WT_rep4	WT_rep5	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_symbol	gene_type
ENSMUSG00000052684	3465	4023	1718	2237	2896.74501201271	-1.13008914671135	0.105574148710937	-10.7042222031602	9.72438461860033e-27	3.5143926011621604e-23	Jun	protein_coding
ENSMUSG00000021701	203	271	758	1420	616.02088342047	1.96485773975681	0.218318724231275	8.99995063032409	2.25819205562007e-19	4.08055304450546e-16	Plk2	protein_coding
ENSMUSG00000022346	559	688	1370	1919	1083.2259148949	1.18500445696893	0.146931801635076	8.06499643904213	7.323800159468501e-16	8.82273792543972e-13	Myc	protein_coding
ENSMUSG00000015396	1156	1065	2068	3317	1813.81965052299	1.04896249570816	0.140474419003455	7.4672848134888	8.18664481537653e-14	7.3966335906927e-11	Cd83	protein_coding
ENSMUSG00000021356	818	854	1529	2545	1367.55022135114	1.05525950354726	0.150909950826405	6.99264361142856	2.6975414736378697e-12	1.94978297714545e-09	Irf4	protein_coding
ENSMUSG00000038894	1077	1006	1804	3106	1664.87453064442	1.00307081314374	0.152740636094823	6.56715094810148	5.1287050693980004e-11	3.08919002013406e-08	Irs2	protein_coding
ENSMUSG00000037944	648	629	1138	1847	1017.00785929786	0.996443413725871	0.160047368479465	6.2259281311065	4.78713486969604e-10	2.47152934558307e-07	Ccr7	protein_coding
ENSMUSG00000023034	566	861	2386	3879	1799.09343597972	1.91137801908519	0.323444106535184	5.90945384524195	3.4324383044835403e-09	1.24048320324035e-06	Nr4a1	protein_coding
ENSMUSG00000030157	834	865	458	564	687.184309538549	-0.940165208574085	0.159085239967024	-5.90982047592201	3.42480768730478e-09	1.24048320324035e-06	Clec2d	protein_coding
ENSMUSG00000052837	1445	1522	2356	3009	2022.24117768009	0.645288981234761	0.109008332496591	5.91962987100037	3.22666955954087e-09	1.24048320324035e-06	Junb	protein_coding
ENSMUSG00000024042	618	765	1238	1681	1035.82393560182	0.86599737226152	0.14708186949768	5.88785942971155	3.9122965213621204e-09	1.28536723892752e-06	Sik1	protein_coding
ENSMUSG00000038393	1349	1211	765	884	1063.01261502938	-0.838928082478051	0.144738806735746	-5.79615171216457	6.785388583991811e-09	2.04353286187887e-06	Txnip	protein_coding
